order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1094,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-1/","The Southern herald. August 16, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0733.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-1/thumbnail.jpg",3480,5624,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0733.xml"
1095,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-2/","The Southern herald. August 16, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0734.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-2/thumbnail.jpg",3408,5604,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0734.xml"
1096,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-3/","The Southern herald. August 16, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0735.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-3/thumbnail.jpg",3420,5591,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0735.xml"
1097,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-4/","The Southern herald. August 16, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0736.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-4/thumbnail.jpg",3260,5632,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0736.xml"
1098,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-5/","The Southern herald. August 16, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0737.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-5/thumbnail.jpg",3408,5547,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0737.xml"
1099,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-6/","The Southern herald. August 16, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0738.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-6/thumbnail.jpg",3400,5633,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0738.xml"
1100,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-7/","The Southern herald. August 16, 1918. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0739.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-7/thumbnail.jpg",3472,5606,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0739.xml"
1101,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-8/","The Southern herald. August 16, 1918. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0740.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-16/ed-1/seq-8/thumbnail.jpg",3480,5584,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918081601/0740.xml"
1102,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-30/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-30/ed-1/seq-1/","The Southern herald. August 30, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918083001/0743.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-30/ed-1/seq-1/thumbnail.jpg",3496,5712,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918083001/0743.xml"
1103,"http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-30/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-30/ed-1/seq-2/","The Southern herald. August 30, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918083001/0744.jpg","http://chroniclingamerica.loc.gov/lccn/sn87007277/1918-08-30/ed-1/seq-2/thumbnail.jpg",3412,5568,"http://s3.amazonaws.com/ndnp-batches/msar_lightningbolt_ver03/data/sn87007277/00415662427/1918083001/0744.xml"
