key,name,description,cover_image_url,external_url
ohio_1917-04-07_1917-04-07,"Ohio","Historic Newspapers from Ohio","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Ohio"
oklahoma_1917-04-07_1917-04-07,"Oklahoma","Historic Newspapers from Oklahoma","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Oklahoma"
oregon_1917-04-07_1917-04-07,"Oregon","Historic Newspapers from Oregon","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Oregon"
pennsylvania_1917-04-07_1917-04-07,"Pennsylvania","Historic Newspapers from Pennsylvania","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Pennsylvania"
piedmont_1917-04-07_1917-04-07,"Piedmont","Historic Newspapers from Piedmont","http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Piedmont"
south-carolina_1917-04-07_1917-04-07,"South Carolina","Historic Newspapers from South Carolina","http://chroniclingamerica.loc.gov/lccn/sn93067846/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=South+Carolina"
tennessee_1917-04-07_1917-04-07,"Tennessee","Historic Newspapers from Tennessee","http://chroniclingamerica.loc.gov/lccn/sn85042907/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Tennessee"
texas_1917-04-07_1917-04-07,"Texas","Historic Newspapers from Texas","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Texas"
utah_1917-04-07_1917-04-07,"Utah","Historic Newspapers from Utah","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Utah"
vermont_1917-04-07_1917-04-07,"Vermont","Historic Newspapers from Vermont","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Vermont"
virginia_1917-04-07_1917-04-07,"Virginia","Historic Newspapers from Virginia","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Virginia"
washington_1917-04-07_1917-04-07,"Washington","Historic Newspapers from Washington","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Washington"
west-virginia_1917-04-07_1917-04-07,"West Virginia","Historic Newspapers from West Virginia","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=West+Virginia"
